bigram,count_no_pcl,count_pcl,freq_no_pcl,freq_pcl,ratio_pcl_over_no_pcl
pope francis,4,7,0.00014991941831265696,0.003357314148681055,22.394124557535648
home homeless,3,4,0.0001124395637344927,0.0019184652278177458,17.062190104949995
vulnerable poor,3,4,0.0001124395637344927,0.0019184652278177458,17.062190104949995
brothers sisters,3,4,0.0001124395637344927,0.0019184652278177458,17.062190104949995
poor homeless,3,4,0.0001124395637344927,0.0019184652278177458,17.062190104949995
new life,4,5,0.00014991941831265696,0.002398081534772182,15.99580325728839
helping hand,5,6,0.00018739927289082117,0.0028776978417266188,15.355971146415252
forced live,5,6,0.00018739927289082117,0.0028776978417266188,15.355971146415252
help people,11,11,0.0004122784003598066,0.005275779376498801,12.796642657238028
homeless children,8,8,0.0002998388366253139,0.0038369304556354917,12.79664264650804
homeless person,7,7,0.0002623589820471497,0.003357314148681055,12.79664264088757
save lives,5,5,0.00018739927289082117,0.002398081534772182,12.796642622902075
little bit,4,4,0.00014991941831265696,0.0019184652278177458,12.796642607164763
make difference,4,4,0.00014991941831265696,0.0019184652278177458,12.796642607164763
poverty line,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
orphans disabled,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
real life,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
said just,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
said need,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
care need,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
states illegally,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
food banks,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
join hands,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
homeless persons,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
local community,3,3,0.0001124395637344927,0.0014388489208633094,12.796642580935913
long way,6,5,0.0002248791274689854,0.002398081534772182,10.663868861902484
women need,10,8,0.00037479854578164235,0.0038369304556354917,10.237314124034977
physical mental,5,4,0.00018739927289082117,0.0019184652278177458,10.2373140993889
kids need,5,4,0.00018739927289082117,0.0019184652278177458,10.2373140993889
help need,27,21,0.0010119560736104344,0.010071942446043165,9.952944302370526
coming poor,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
provide shelter,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
look forward,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
feed homeless,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
hopelessness helplessness,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
social care,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
children education,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
sleeping rough,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
especially young,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
society said,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
living streets,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
millions poor,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
abuse neglect,4,3,0.00014991941831265696,0.0014388489208633094,9.597481957041134
human beings,7,5,0.0002623589820471497,0.002398081534772182,9.140459030294428
brought united,6,4,0.0002248791274689854,0.0019184652278177458,8.531095090411355
young man,6,4,0.0002248791274689854,0.0019184652278177458,8.531095090411355
make feel,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
housing minister,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
70 years,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
ability work,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
homeless need,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
way women,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
income housing,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
term care,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
big cities,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
help young,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
ministry health,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
nawaz sharif,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
need change,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
care support,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
care vulnerable,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
solve problem,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
good work,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
new country,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
homeless women,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
single person,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
children children,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
hopelessly ill,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
food parcels,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
food homeless,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
19 year,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
people disability,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
december 10,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
homeless destitute,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
physical sexual,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
ill equipped,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
individuals need,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
16 million,3,2,0.0001124395637344927,0.0009592326139088729,8.531095056921831
better life,11,7,0.0004122784003598066,0.003357314148681055,8.143318055488033
need said,13,8,0.00048723810951613507,0.0038369304556354917,7.874857023337115
families given,5,3,0.00018739927289082117,0.0014388489208633094,7.677985575875725
people able,5,3,0.00018739927289082117,0.0014388489208633094,7.677985575875725
house homeless,5,3,0.00018739927289082117,0.0014388489208633094,7.677985575875725
need protection,5,3,0.00018739927289082117,0.0014388489208633094,7.677985575875725
new zealanders,5,3,0.00018739927289082117,0.0014388489208633094,7.677985575875725
lost lives,5,3,0.00018739927289082117,0.0014388489208633094,7.677985575875725
people want,5,3,0.00018739927289082117,0.0014388489208633094,7.677985575875725
taken care,5,3,0.00018739927289082117,0.0014388489208633094,7.677985575875725
world vulnerable,7,4,0.0002623589820471497,0.0019184652278177458,7.312367224997858
quality education,11,6,0.0004122784003598066,0.0028776978417266188,6.979986905050535
loved ones,10,5,0.00037479854578164235,0.002398081534772182,6.398321328522399
members society,10,5,0.00037479854578164235,0.002398081534772182,6.398321328522399
medical care,8,4,0.0002998388366253139,0.0019184652278177458,6.398321324921583
communities need,8,4,0.0002998388366253139,0.0019184652278177458,6.398321324921583
group said,6,3,0.0002248791274689854,0.0014388489208633094,6.398321318920225
help women,6,3,0.0002248791274689854,0.0014388489208633094,6.398321318920225
low levels,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
girls boys,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
life changing,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
uttar pradesh,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
akufo addo,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
poor family,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
general public,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
new world,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
fruits vegetables,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
according unhcr,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
family member,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
access health,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
free medical,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
60 million,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
need blood,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
people just,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
fleeing war,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
members public,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
development goals,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
orphans vulnerable,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
capacity building,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
care children,4,2,0.00014991941831265696,0.0009592326139088729,6.398321306917507
